Numero	Sex	SVL	Intact_tail_length	Autotomized_tail_length	Tail_state
632	NA	15.94	11.3	NA	1
634	Female	23.76	NA	16.92	0
635	Male 	19.82	18.73	NA	1
636	NA	17.89	NA	9.33	0
640	NA	19.49	16.14	NA	1
641	Female	24.28	NA	9.82	0
645	NA	18.67	17.18	NA	1
648	Male	20.46	20.22	NA	1
655	NA	17.28	NA	9.89	0
656	Female	20.69	NA	7.53	0
657	NA	20.08	18.61	NA	1
658	NA	21.06	18.63	NA	1
659	NA	19.55	17.59	NA	1
660	NA	21.92	21.04	NA	1
661	NA	16.25	13.12	NA	1
662	NA	18.49	NA	14.55	0
663	Male	20.69	20.02	NA	1
664	Female	24.09	20.72	NA	1
665	NA	17.49	NA	12.53	0
666	Male	22.29	20.37	NA	1
668	NA	17.88	NA	12.01	0
669	NA	14.5	NA	9.56	0
672	NA	18.97	16.1	NA	1
675	Female	24.04	NA	7.8	0
676	Female	24.61	NA	4.85	0
677	NA	22	20.05	NA	1
678	Male	20.31	18.46	NA	1
679	Male	20.13	19.07	NA	1
