,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50
Amostra_15,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amostra_16,1,0,0,7,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,1,1,0
Amostra_17,0,0,0,25,5,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,23,0,0,0,7,0,1,2,0,0,0,0,1,0,1,0
Amostra_18,0,0,0,16,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,9,0,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
Amostra_19,2,0,0,17,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Amostra_20,0,0,2,4,6,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,3,0,5,0,0,1,0,0,0,14,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Amostra_21,2,0,2,13,17,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,14,1,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
Amostra_22,0,0,0,4,3,0,0,2,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Amostra_23,1,0,3,27,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
Amostra_24,1,1,2,29,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,0,3,0,0,1,3,1,0,16,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
Amostra_25,1,0,0,13,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,5,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0
Amostra_26,1,2,1,12,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amostra_27,1,0,1,11,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Amostra_28,0,0,0,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,55,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0
Amostra_29,1,1,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,2,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amostra_30,0,0,0,16,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,0,1,7,0,0,0,0,0,0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
