	Especie	Sexo	CRC	Raillietiella_mottae
W289	Phyllopezus_pollicaris	M	73	0
W290	Phyllopezus_pollicaris	F	56	0
W291	Phyllopezus_pollicaris	M	73	0
W292	Phyllopezus_pollicaris	F	65	0
W293	Phyllopezus_pollicaris	M	57	0
W294	Phyllopezus_pollicaris	M	68	0
W295	Phyllopezus_pollicaris	F	71	1
W296	Phyllopezus_pollicaris	F	70	0
W297	Phyllopezus_pollicaris	M	62	0
W298	Phyllopezus_pollicaris	F	51	0
W299	Phyllopezus_pollicaris	F	64	0
W300	Phyllopezus_pollicaris	F	61	0
W301	Phyllopezus_pollicaris	M	72	0
W302	Phyllopezus_pollicaris	M	64	0
W306	Hemidactylus_agrius	F	48	0
W307	Hemidactylus_agrius	M	49	0
W308	Hemidactylus_agrius	F	43	0
W310	Hemidactylus_agrius	F	44	0
W311	Hemidactylus_agrius	F	49	0
W313	Hemidactylus_agrius	M	50	0
W314	Hemidactylus_agrius	M	48	0
W315	Hemidactylus_agrius	M	47	0
W316	Hemidactylus_agrius	F	48	3
W317	Hemidactylus_agrius	M	48	2
W318	Hemidactylus_agrius	F	50	0
W319	Hemidactylus_agrius	F	49	1
W324	Phyllopezus_pollicaris	F	70	3
W325	Phyllopezus_pollicaris	F	71	0
W326	Hemidactylus_agrius	F	53	0
W327	Hemidactylus_agrius	F	49	0
W328	Hemidactylus_agrius	M	53	1
W329	Hemidactylus_agrius	F	52	1
W331	Hemidactylus_agrius	M	49	0
W344	Phyllopezus_pollicaris	M	62	0
W345	Phyllopezus_pollicaris	M	58	0
W346	Phyllopezus_pollicaris	M	76	1
W347	Phyllopezus_pollicaris	F	74	3
W348	Phyllopezus_pollicaris	F	66	1
W349	Hemidactylus_agrius	F	52	0
W350	Hemidactylus_agrius	M	43	0
W371	Hemidactylus_agrius	M	50	0
W372	Hemidactylus_agrius	F	49	0
W373	Hemidactylus_agrius	F	52	0
W378	Phyllopezus_pollicaris	M	52	0
W379	Phyllopezus_pollicaris	F	61	1
W380	Phyllopezus_pollicaris	M	71	2
W381	Phyllopezus_pollicaris	F	69	3
W382	Phyllopezus_pollicaris	F	70	2
W383	Phyllopezus_pollicaris	F	69	2
W385	Hemidactylus_agrius	M	51	0
W391	Phyllopezus_pollicaris	M	61	0
W392	Phyllopezus_pollicaris	F	69	1
W393	Phyllopezus_pollicaris	M	73	0
W394	Phyllopezus_pollicaris	M	71	0
W395	Phyllopezus_pollicaris	M	69	1
W396	Phyllopezus_pollicaris	M	74	5
W397	Phyllopezus_pollicaris	M	63	0
W398	Phyllopezus_pollicaris	F	59	0
W409	Hemidactylus_agrius	F	49	1
W410	Hemidactylus_agrius	M	52	1
W411	Phyllopezus_pollicaris	F	46	0
W412	Phyllopezus_pollicaris	F	59	0
W413	Phyllopezus_pollicaris	F	51	0
W414	Phyllopezus_pollicaris	M	55	0
W415	Phyllopezus_pollicaris	F	70	0
W416	Phyllopezus_pollicaris	M	70	0
W422	Phyllopezus_pollicaris	F	71	1
W423	Phyllopezus_pollicaris	M	69	0
W424	Phyllopezus_pollicaris	F	69	0
W425	Phyllopezus_pollicaris	F	64	0
W426	Phyllopezus_pollicaris	M	70	0
W430	Hemidactylus_agrius	M	46	0
W434	Hemidactylus_agrius	M	42	0
W435	Hemidactylus_agrius	M	44	0
W436	Hemidactylus_agrius	F	44	0
W440	Phyllopezus_pollicaris	F	76	0
W441	Phyllopezus_pollicaris	M	61	0
W442	Phyllopezus_pollicaris	F	69	2
W443	Phyllopezus_pollicaris	F	69	0
W444	Phyllopezus_pollicaris	F	80	1
W447	Hemidactylus_agrius	M	37	0
W448	Hemidactylus_agrius	F	40	0
W449	Hemidactylus_agrius	F	55	4
W450	Hemidactylus_agrius	F	49	0
W451	Hemidactylus_agrius	F	50	0
W452	Hemidactylus_agrius	M	48	1
W453	Hemidactylus_agrius	F	46	0
W456	Hemidactylus_agrius	M	44	0
W458	Hemidactylus_agrius	M	46	1
W463	Hemidactylus_agrius	M	44	2
W464	Hemidactylus_agrius	F	51	0
W465	Hemidactylus_agrius	M	46	0
W466	Hemidactylus_agrius	F	50	0
W467	Hemidactylus_agrius	M	48	1
W468	Hemidactylus_agrius	F	52	0
W469	Hemidactylus_agrius	F	52	0
W470	Hemidactylus_agrius	M	47	1
W471	Hemidactylus_agrius	F	41	0
W472	Hemidactylus_agrius	M	40	2
W473	Hemidactylus_agrius	F	43	0
W474	Hemidactylus_agrius	F	43	5
W475	Hemidactylus_agrius	M	48	0
W476	Hemidactylus_agrius	M	55	1
W480	Hemidactylus_agrius	F	49	1
W481	Hemidactylus_agrius	F	42	0
